机密文件|GiveWeapon 408080027
UMP4515|GiveItem 201050088 1 0 0
MAC10 15|GiveItem 201050089 1 0 0
M3A1	15|GiveItem 201050090 1 0 0
AK 100|GiveItem 201050091 1 0 0
金鹰 8|GiveItem 201050092 1 0 0
SVDS 20新手弹匣|GiveItem 201050093 1 0 0
AK74 30新手弹匣|GiveItem 201050094 1 0 0
QC61 20|GiveItem 201050095 1 0 0
QC61 30|GiveItem 201050096 1 0 0
MPF45 20|GiveItem 201050097 1 0 0
MPF45 30|GiveItem 201050098 1 0 0
VSS 50|GiveItem 201050099 1 0 0
AUG 60|GiveItem 201050100 1 0 0
UZI 32|GiveItem 201050101 1 0 0
MP9 15|GiveItem 201050102 1 0 0
BM59 5|GiveItem 201050103 1 0 0
AK102 60|GiveItem 201050104 1 0 0
FAL 30|GiveItem 201050105 1 0 0
Vector45 30|GiveItem 201050106 1 0 0
Vector45 50|GiveItem 201050107 1 0 0
T85 30|GiveItem 201050108 1 0 0
U12 10|GiveItem 201050109 1 0 0
U12 20|GiveItem 201050110 1 0 0
AR30 5|GiveItem 201050111 1 0 0
SJ16 5|GiveItem 201050112 1 0 0
SJ16 10|GiveItem 201050113 1 0 0
Vector9 30|GiveItem 201050114 1 0 0
Vector 50|GiveItem 201050115 1 0 0
CZ52 8|GiveItem 201050116 1 0 0
SVTU 5|GiveItem 201050117 1 0 0
SVTU 10|GiveItem 201050118 1 0 0
F57 10|GiveItem 201050119 1 0 0
F57 20|GiveItem 201050120 1 0 0
M24 5|GiveItem 201050121 1 0 0
M24 10|GiveItem 201050122 1 0 0
AN94 30|GiveItem 201050123 1 0 0
Hunter 5|GiveItem 201050124 1 0 0
MP5 30新手弹匣|GiveItem 201050125 1 0 0
AR30 10|GiveItem 201050126 1 0 0
BM59 20新手弹匣|GiveItem 201050127 1 0 0
AKM 100|GiveItem 201050128 1 0 0
AK 30观察|GiveItem 201050129 1 0 0
AR 30观察|GiveItem 201050130 1 0 0
Groza 20|GiveItem 201050131 1 0 0
Groza 30|GiveItem 201050132 1 0 0
Groza 50|GiveItem 201050133 1 0 0
Suomi 20|GiveItem 201050134 1 0 0
Suomi 40|GiveItem 201050135 1 0 0
Suomi 72|GiveItem 201050136 1 0 0
DP12 14|GiveItem 201050137 1 0 0
FAMAS 25|GiveItem 201050138 1 0 0
AK74 30新手弹匣|GiveItem 201050139 1 0 0
SCAR-L 30|GiveItem 201050140 1 0 0
BIZON 53|GiveItem 201050141 1 0 0
T 30|GiveItem 201050142 1 0 0
T 75|GiveItem 201050143 1 0 0
TS5 30|GiveItem 201050144 1 0 0
铝制前握把|GiveItem 201010002 1 0 0
合金前握把|GiveItem 201010003 1 0 0
轻量前握把|GiveItem 201010004 1 0 0
三角前握把|GiveItem 201010005 1 0 0
斜向前握把|GiveItem 201010006 1 0 0
短直前握把|GiveItem 201010007 1 0 0
垂直前握把|GiveItem 201010008 1 0 0
轻便前握把|GiveItem 201010009 1 0 0
RK0前握把|GiveItem 201010010 1 0 0
紧凑前握把|GiveItem 201010011 1 0 0
轻斜前握把|GiveItem 201010012 1 0 0
蓝点镭指|GiveItem 201160001 1 0 0
IR镭指灯|GiveItem 201160002 1 0 0
多功能镭指|GiveItem 201160003 1 0 0
快速镭指|GiveItem 201160004 1 0 0
绿色镭指|GiveItem 201160005 1 0 0
蓝紫镭指|GiveItem 201160006 1 0 0
AR多口径消焰|GiveWeapon nn
AR30橡胶垫|GiveWeapon bb
全能AR战握|GiveWeapon hg
G3标准护木|GiveWeapon db
46消音|GiveWeapon hy
Mpx伸缩枪托|GiveWeapon qb
G3现代托|GiveWeapon up
赛季G3|GiveWeapon G3
农场原住民1（角色）|GiveItem 703020002 1 0 0
鲁本王1（角色）|GiveItem 703020003 1 0 0
农场原住民2（角色）|GiveItem 703020004 1 0 0
鲁本王2（角色）|GiveItem 703020004 1 0 0
北方军人机1（角色）|GiveItem 703020006 1 0 0
北方军人机2（角色）|GiveItem 703020007 1 0 0
山谷人机1（角色）|GiveItem 703020008 1 0 0
山谷人机2（角色）|GiveItem 703020009 1 0 0
老版电台黑金人机（角色）|GiveItem 703020010 1 0 0
新版电台黑金人机（角色）|GiveItem 703020011 1 0 0
白狼人机（角色）|GiveItem 703020012 1 0 0
尤文（角色）|GiveItem 703020013 1 0 0
苏梅克制式（角色）|GiveItem 703020014 1 0 0
街区守卫（角色）|GiveItem 703020051 1 0 0
机械师（角色）|GiveItem 703020052 1 0 0
原皮（角色）|GiveItem 703020053 1 0 0
城市灰（废案）（角色）|GiveItem 703020054 1 0 0
深潜者（角色）|GiveItem 703020055 1 0 0
特遣小队（角色）|GiveItem 703020056 1 0 0
荒漠蝰蛇（角色）|GiveItem 703020057 1 0 0
特遣初始套装（套装）|GiveItem 703010000 1 0 0
特遣原皮（套装）|GiveItem 703010001 1 0 0
深潜行者（套装）|GiveItem 703010002 1 0 0
六队作训服（特遣小队）（套装）|GiveItem 703010003 1 0 0
城市战术套装（套装）|GiveItem 703010004 1 0 0
街区守卫（套装）|GiveItem 703010005 1 0 0
装卸者（套装）|GiveItem 703010006 1 0 0
机械师（套装）|GiveItem 703010007 1 0 0
白狼连队作战服（套装）|GiveItem 703010008 1 0 0
荒漠蝰蛇作战服（套装）|GiveItem 703010009 1 0 0
边境看守（套装）|GiveItem 703010010 1 0 0
九号特遣组（套装）|GiveItem 703010011 1 0 0
GIGN（套装）|GiveItem 703010012 1 0 0
信号旗（套装）|GiveItem 703010013 1 0 0
空勤特遣队作战服（套装）|GiveItem 703010014 1 0 0
黑金作战服（套装）|GiveItem 703010015 1 0 0
台风II竞技运动服（套装）|GiveItem 703010016 1 0 0
林地战术作战服（套装）|GiveItem 703010017 1 0 0
林中人·特遣作战服（套装）|GiveItem 703010018 1 0 0
苏梅克制式保安服（套装）|GiveItem 703010019 1 0 0
黑金指挥官作战服（套装）|GiveItem 703010020 1 0 0
秋日盛宴风衣（套装）|GiveItem 703010023 1 0 0
普通人机1（衣服）|GiveItem 702020301 1 0 0
普通人机2（衣服）|GiveItem 702020302 1 0 0
普通人机3（衣服）|GiveItem 702020303 1 0 0
普通人机4（衣服）|GiveItem 702020304 1 0 0
普通人机5（衣服）|GiveItem 702020305 1 0 0
北方军1（衣服）|GiveItem 702020306 1 0 0
阿贾克斯（衣服）|GiveItem 702020307 1 0 0
杰克逊（衣服）|GiveItem 702020308 1 0 0
北方军2（衣服）|GiveItem 702020309 1 0 0
山谷人机1（衣服）|GiveItem 702020310 1 0 0
山谷人机2（衣服）|GiveItem 702020311 1 0 0
老版电台黑金人机（衣服）|GiveItem 702020312 1 0 0
普通人机鞋子1（鞋子）|GiveItem 702020701 1 0 0
普通人机靴子1（鞋子）|GiveItem 702020702 1 0 0
普通人机鞋子2（鞋子）|GiveItem 702020703 1 0 0
普通人机鞋子3（鞋子）|GiveItem 702020704 1 0 0
普通人机靴子2（鞋子）|GiveItem 702020705 1 0 0
北方军靴子1（鞋子）|GiveItem 702020706 1 0 0
阿贾靴子（鞋子）|GiveItem 702020707 1 0 0
杰克逊靴子（鞋子）|GiveItem 702020708 1 0 0
北方军靴子2（鞋子）|GiveItem 702020709 1 0 0
山谷人机靴子1（鞋子）|GiveItem 702020710 1 0 0
山谷人机鞋子1（鞋子）|GiveItem 702020711 1 0 0
老版电台黑金人机鞋子（鞋子）|GiveItem 702020712 1 0 0
普通人机裤子1（裤子）|GiveItem 702020601 1 0 0
普通人机裤子2（裤子）|GiveItem 702020602 1 0 0
普通人机裤子3（裤子）|GiveItem 702020603 1 0 0
普通人机裤子4（裤子）|GiveItem 702020604 1 0 0
普通人机裤子5（裤子）|GiveItem 702020605 1 0 0
北方军裤子1（裤子）|GiveItem 702020606 1 0 0
阿贾裤子（裤子）|GiveItem 702020607 1 0 0
杰克逊裤子（裤子）|GiveItem 702020608 1 0 0
北方军裤子2（裤子）|GiveItem 702020609 1 0 0
山谷人机裤子1（裤子）|GiveItem 702020610 1 0 0
山谷人机裤子2（裤子）|GiveItem 702020611 1 0 0
老版电台黑金人机裤子（裤子）|GiveItem 702020612 1 0 0
普通人机手套1（手套）|GiveItem 702020401 1 0 0
普通人机手套2（手套）|GiveItem 702020402 1 0 0
普通人机手套3（手套）|GiveItem 702020403 1 0 0
普通人机手套4（手套）|GiveItem 702020404 1 0 0
普通人机手套5（手套）|GiveItem 702020405 1 0 0
北方军手套1（裸手）（手套）|GiveItem 702020406 1 0 0
阿贾手套（手套）|GiveItem 702020407 1 0 0
杰克逊手套（手套）|GiveItem 702020408 1 0 0
北方军手套2（手套）|GiveItem 702020409 1 0 0
山谷人机手套1（手套）|GiveItem 702020410 1 0 0
山谷人机手套2（手套）|GiveItem 702020411 1 0 0
老版电台黑金人机手套（手套）|GiveItem 702020412 1 0 0
普通人机脸型1（脸型）|GiveItem 702020201 1 0 0
普通人机脸型2（脸型）|GiveItem 702020202 1 0 0
普通人机脸型3（脸型）|GiveItem 702020203 1 0 0
普通人机脸型4（脸型）|GiveItem 702020204 1 0 0
普通人机脸型5（脸型）|GiveItem 702020205 1 0 0
北方军脸型1（脸型）|GiveItem 702020206 1 0 0
阿贾脸型（脸型）|GiveItem 702020207 1 0 0
杰克逊脸型（脸型）|GiveItem 702020208 1 0 0
北方军脸型（脸型）|GiveItem 702020209 1 0 0
山谷人机脸型（脸型）|GiveItem 702020210 1 0 0
山谷人机脸型（脸型）|GiveItem 702020211 1 0 0
老版电台黑金人机脸型（脸型）|GiveItem 702020212 1 0 0
阿贾帽子（帽子）|GiveItem 702011201 1 0 0
雷诺帽子（帽子）|GiveItem 702011202 1 0 0
灰色鸭舌帽（帽子）|GiveItem 702011203 1 0 0
绿色鸭舌帽（帽子）|GiveItem 702011204 1 0 0
绿色针织帽（帽子）|GiveItem 702011205 1 0 0
蓝色鸭舌帽（帽子）|GiveItem 702011206 1 0 0
黑色鸭舌帽（帽子）|GiveItem 702011207 1 0 0
棕色鸭舌帽（帽子）|GiveItem 702011208 1 0 0
护耳飞行帽（帽子）|GiveItem 702011209 1 0 0
教官帽（帽子）|GiveItem 702011210 1 0 0
船形帽（帽子）|GiveItem 702011211 1 0 0
牛仔骑兵帽（帽子）|GiveItem 702011212 1 0 0
迷彩奔尼帽（帽子）|GiveItem 702011213 1 0 0
苏联毛帽（帽子）|GiveItem 702011214 1 0 0
沙漠军用平顶野战帽（帽子）|GiveItem 702011215 1 0 0
林地军用平顶野战帽（帽子）|GiveItem 702011216 1 0 0
飞行员皮帽（帽子）|GiveItem 702011217 1 0 0
丛林遮阳帽（帽子）|GiveItem 702011219 1 0 0
圣诞棉帽（帽子）|GiveItem 702011220 1 0 0
灰白鸭舌帽（帽子）|GiveItem 702011221 1 0 0
绿迷彩鸭舌帽（帽子）|GiveItem 702011222 1 0 0
棕迷彩鸭舌帽（帽子）|GiveItem 702011218 1 0 0
黑迷彩鸭舌帽（帽子）|GiveItem 702011219 1 0 0
满改MK|GiveItem 801030382 1 0 0
斗犬|GiveItem 801010938 1 0 0
RPD|GiveItem 801050203 1 0 0
T09|GiveItem 801060702 1 0 0
M249|GiveItem 801050303 1 0 0
满改MPX|GiveItem 801020220 1 0 0
峰|GiveItem 801020185 1 0 0
林中人|GiveItem 801010386 1 0 0
满改法老|GiveItem 801010310 1 0 0
黑金|GiveItem 801010277 1 0 0
黄金H4|GiveItem 801010485 1 0 0
竞技|GiveItem 801010287 1 0 0
离子火花|GiveItem 701011791 1 0 0
堕落者|GiveItem 701011758 1 0 0
诸星之子|GiveItem 701011774 1 0 0
贝利亚AUG|GiveItem 701011868 1 0 0
丛林法则|GiveItem 701010957 1 0 0
黄金AK|GiveItem 701010632 1 0 0
焰色反应|GiveItem 701010329 1 0 0
战术大师102|GiveItem 701010306 1 0 0
水果皮肤|GiveItem 701012135 1 0 0
战术大师|GiveItem 701011205 1 0 0
骑士之剑|GiveItem 701011598 1 0 0
王牌战士|GiveItem 701010924 1 0 0
黄金M4|GiveItem 7010102218 1 0 0
奥特曼皮肤|GiveItem 301040058 1 0 0
奥特曼皮肤|GiveItem 301040059 1 0 0
贝利亚皮套|GiveItem 700125 1 0 0
巴尔坦星头套|GiveItem 700135 1 0 0
